Name,Country,Exchange,Description,Last Price,52 week range,Url
123fahrschule SE,Germany, Xetra ," 123fahrschule SE operates as an information technology supported driving school chain. It focuses on e-learning and digitalized driver's license training. The company was founded in 2016 and is headquartered in Cologne, Germany. ",11.40,10.80 - 14.00,https://www.wsj.com/market-data/quotes/XE/XETR/123F/company-people
1111 Exploration Corp.,Canadian Securities Exchange,,,0.05,0.05 - 0.15,https://www.wsj.com/market-data/quotes/CA/XCNQ/ELVN/company-people
11 88 0 Solutions AG,Germany, Xetra ,,1.59,1.46 - 1.82,https://www.wsj.com/market-data/quotes/XE/XETR/TGT/company-people
10x Genomics Inc.,US, Nasdaq,,67.03,65.15 - 208.99,https://www.wsj.com/market-data/quotes/TXG/company-people
12 Retech Corp.,US, OTC,,0.0002,0.0001 - 0.016,https://www.wsj.com/market-data/quotes/RETC/company-people
11 Bit Studios S.A.,Poland, Warsaw,,495.60,395.20 - 589.00,https://www.wsj.com/market-data/quotes/PL/XWAR/11B/company-people
10X Capital Venture Acquisition Corp. III,US, NYSE," 10x Capital Venture Acquisition Corp. III is a blank check company whose business purpose is to effect a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses or entities. The company was founded on February 10, 2021 and is headquartered in New York, NY. ",10.08,9.96 - 10.10,https://www.wsj.com/market-data/quotes/VCXB.UT/company-people
111 Inc. ADR,US, Nasdaq,,2.43,2.23 - 19.74,https://www.wsj.com/market-data/quotes/YI/company-people
11 Bit Studios S.A.,Germany, Frankfurt ,,103.20,86.35 - 126.40,https://www.wsj.com/market-data/quotes/DE/XFRA/11C/company-people
01 Communique Laboratory Inc.,Canada, TSX Venture,,0.24,0.20 - 0.41,https://www.wsj.com/market-data/quotes/CA/XTSX/ONE/company-people
10X Capital Venture Acquisition Corp. III Wt,US, NYSE," 10x Capital Venture Acquisition Corp. III is a blank check company whose business purpose is to effect a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses or entities. The company was founded on February 10, 2021 and is headquartered in New York, NY. ",0.20,0.17 - 0.35,https://www.wsj.com/market-data/quotes/VCXB.WT/company-people
104 Corp.,Taiwan,,,193.00,158.50 - 201.00,https://www.wsj.com/market-data/quotes/TW/XTAI/3130/company-people
10X Capital Venture Acquisition Corp. II Un,US, Nasdaq," 10x Capital Venture Acquisition Corp. II is a blank check company whose business purpose is to effect a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses or entities. The company was founded on February 10, 2021 and is headquartered in New York, NY. ",10.12,9.86 - 13.09,https://www.wsj.com/market-data/quotes/VCXAU/company-people
10X Capital Venture Acquisition Corp. II Wt,US, Nasdaq," 10x Capital Venture Acquisition Corp. II is a blank check company whose business purpose is to effect a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses or entities. The company was founded on February 10, 2021 and is headquartered in New York, NY. ",1.04,0.70 - 4.40,https://www.wsj.com/market-data/quotes/VCXAW/company-people
5th Planet Games A/S,Norway, Oslo," 5th Planet Games A/S engages in the development of mobile games. It offers games for children and adults. The company was founded by Henrik Jørgen Skouboe Kølle on April 13, 2011 and is headquartered in Copenhagen, Denmark. ",1.00,0.74 - 1.55,https://www.wsj.com/market-data/quotes/NO/XOSL/5PG/company-people
10X Capital Venture Acquisition Corp. III Cl A,US, NYSE," 10x Capital Venture Acquisition Corp. III is a blank check company whose business purpose is to effect a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses or entities. The company was founded on February 10, 2021 and is headquartered in New York, NY. ",9.91,9.87 - 9.96,https://www.wsj.com/market-data/quotes/VCXB/company-people
5N Plus Inc.,US, OTC," 5N Plus, Inc. engages in producing of chemicals and engineered materials. It operates through the following segments: Electronic Materials and Eco-Friendly Materials. The Electronic Materials segment manufactures and sells products which are used in applications such as security, aerospace, sensing, imaging, renewable energy and various technical industries. The Eco-Friendly Materials segment manufactures and sells products which are used in applications such as pharmaceutical, healthcare, animal feed additive, catalytic and extractive, as well as various industrial materials. The company was founded by Jacques L'Écuyer and Marc Suys on June 1, 2000 and is headquartered in Montreal, Canada. ",1.638,1.638 - 3.85,https://www.wsj.com/market-data/quotes/FPLSF/company-people
5Paisa Capital Ltd.,India, Bombay," 5paisa Capital Ltd. engages in stock broking and fund based activities. It also offers a range of financial services such as securities trading, fintech solutions, and online Robo-advisory service. The company was founded on July 10, 2007 and is headquartered in Thane, India. ",307.35,243.75 - 577.40,https://www.wsj.com/market-data/quotes/IN/XBOM/540776/company-people
10X Capital Venture Acquisition Corp. II Cl A,US, Nasdaq," 10x Capital Venture Acquisition Corp. II is a blank check company whose business purpose is to effect a merger, share exchange, asset acquisition, share purchase, reorganization or similar business combination with one or more businesses or entities. The company was founded on February 10, 2021 and is headquartered in New York, NY. ",9.8201,9.57 - 10.88,https://www.wsj.com/market-data/quotes/VCXA/company-people
